category,metric,value,unit
Business KPI,Total Flights,1004.0,
Business KPI,Total Bookings,1000.0,
Business KPI,Valid Payment Transactions,922.0,
Business KPI,Average Flight Duration (Minutes),164.48519332669326,
Business KPI,Median Flight Duration (Minutes),166.0,
Business KPI,Overnight Flights,122.0,
Business KPI,Confirmed Booking Rate (%),32.0,
Business KPI,Cancellation Rate (%),31.4,
Business KPI,Pending Booking Rate (%),29.1,
Business KPI,Total Payment Value,7385142.98,
Data Quality,flights - total_records,1005.0,
Data Quality,flights - missing_airline,39.0,
Data Quality,flights - unknown_airline,69.0,
Data Quality,flights - invalid_timestamps,0.0,
Data Quality,flights - temporal_anomalies,1.0,
Data Quality,flights - overnight_flights,123.0,
Data Quality,flights - duration_mismatches,0.0,
Data Quality,bookings - total_records,1000.0,
Data Quality,bookings - invalid_status,45.0,
Data Quality,bookings - orphan_passenger_references,0.0,
Data Quality,bookings - orphan_flight_references,0.0,
Data Quality,passengers - total_records,1039.0,
Data Quality,passengers - missing_date_of_birth,0.0,
Data Quality,payments - total_records,1000.0,
Data Quality,payments - invalid_amount,78.0,
Data Quality,payments - orphan_booking_references,0.0,
Analytical KPI,Flights per Booking,1.0,ratio
Analytical KPI,Payments per Booking,0.92,ratio
Analytical KPI,Average Payment Amount,8009.92,currency
Analytical KPI,Maximum Flight Duration,300.0,minutes
Analytical KPI,Minimum Flight Duration,30.0,minutes
Analytical KPI,Overnight Flight Percentage,12.15,%
Analytical KPI,Invalid Booking Percentage,4.5,%
