payment_id,booking_id,amount,payment_method,invalid_amount_flag,orphan_booking_flag,payment_amount
PAY1000,B1116,9883.49,NETBANKING,False,False,9883.49
PAY1001,B1738,8457.96,NETBANKING,False,False,8457.96
PAY1002,B1873,6495.37,UPI,False,False,6495.37
PAY1003,B1914,5079.38,NETBANKING,False,False,5079.38
PAY1004,B1967,12518.31,CARD,False,False,12518.31
PAY1005,B1998,7319.71,CARD,False,False,7319.71
PAY1006,B1544,8020.26,CARD,False,False,8020.26
PAY1007,B1043,8291.6,UPI,False,False,8291.6
PAY1008,B1508,7277.14,CARD,False,False,7277.14
PAY1009,B1987,4585.24,CARD,False,False,4585.24
PAY1010,B1164,2684.77,UPI,False,False,2684.77
PAY1011,B1367,2379.52,CARD,False,False,2379.52
PAY1012,B1856,11604.48,CARD,False,False,11604.48
PAY1013,B1291,4129.39,NETBANKING,False,False,4129.39
PAY1014,B1848,1779.42,UPI,False,False,1779.42
PAY1015,B1855,12165.24,CARD,False,False,12165.24
PAY1016,B1916,3156.86,CARD,False,False,3156.86
PAY1017,B1897,9752.05,CARD,False,False,9752.05
PAY1020,B1736,6802.73,NETBANKING,False,False,6802.73
PAY1021,B1285,1207.32,NETBANKING,False,False,1207.32
PAY1022,B1203,12774.63,NETBANKING,False,False,12774.63
PAY1023,B1683,8188.97,UPI,False,False,8188.97
PAY1025,B1818,4317.72,NETBANKING,False,False,4317.72
PAY1027,B1944,3644.17,UPI,False,False,3644.17
PAY1028,B1755,4760.39,CARD,False,False,4760.39
PAY1029,B1663,8481.4,CARD,False,False,8481.4
PAY1030,B1663,12656.53,NETBANKING,False,False,12656.53
PAY1031,B1187,6625.76,NETBANKING,False,False,6625.76
PAY1032,B1906,11037.65,UPI,False,False,11037.65
PAY1034,B1602,4028.21,NETBANKING,False,False,4028.21
PAY1035,B1199,12300.69,NETBANKING,False,False,12300.69
PAY1036,B1585,11603.63,NETBANKING,False,False,11603.63
PAY1037,B1767,5997.12,UPI,False,False,5997.12
PAY1038,B1455,14853.28,CARD,False,False,14853.28
PAY1039,B1447,4676.01,NETBANKING,False,False,4676.01
PAY1040,B1787,4567.25,CARD,False,False,4567.25
PAY1041,B1839,11811.63,UPI,False,False,11811.63
PAY1042,B1840,7085.2,CARD,False,False,7085.2
PAY1043,B1070,5631.13,NETBANKING,False,False,5631.13
PAY1044,B1589,3501.28,CARD,False,False,3501.28
PAY1045,B1795,11714.65,CARD,False,False,11714.65
PAY1046,B1129,12008.51,UPI,False,False,12008.51
PAY1047,B1888,8931.9,UPI,False,False,8931.9
PAY1048,B1042,14402.39,CARD,False,False,14402.39
PAY1049,B1519,5454.29,CARD,False,False,5454.29
PAY1050,B1012,4074.67,CARD,False,False,4074.67
PAY1051,B1724,10484.53,UPI,False,False,10484.53
PAY1052,B1622,11617.72,UPI,False,False,11617.72
PAY1053,B1987,4148.68,CARD,False,False,4148.68
PAY1054,B1802,2072.55,UPI,False,False,2072.55
PAY1055,B1534,12347.23,NETBANKING,False,False,12347.23
PAY1056,B1301,14671.03,UPI,False,False,14671.03
PAY1057,B1765,10025.41,UPI,False,False,10025.41
PAY1058,B1526,4890.14,UPI,False,False,4890.14
PAY1059,B1641,14953.42,NETBANKING,False,False,14953.42
PAY1061,B1114,8187.33,NETBANKING,False,False,8187.33
PAY1062,B1459,12554.5,CARD,False,False,12554.5
PAY1063,B1831,12421.49,CARD,False,False,12421.49
