source,destination,route,total_flights,average_duration_minutes,median_duration_minutes,overnight_flights,overnight_percentage
BLR,BOM,BLR → BOM,60,147.73358166666668,140.5,7,11.666666666666666
BLR,CCU,BLR → CCU,21,128.52380952380952,97.0,4,19.047619047619047
BLR,DEL,BLR → DEL,19,156.94736842105263,125.0,1,5.263157894736842
BLR,HYD,BLR → HYD,19,155.68421052631578,167.0,3,15.789473684210526
BLR,MAA,BLR → MAA,16,187.3125,219.0,2,12.5
BOM,BLR,BOM → BLR,23,176.52238768115942,170.0,1,4.3478260869565215
BOM,CCU,BOM → CCU,90,169.51122148148147,169.5,16,17.77777777777778
BOM,DEL,BOM → DEL,39,153.82063931623932,157.0,3,7.6923076923076925
BOM,HYD,BOM → HYD,26,180.84615384615384,207.5,4,15.384615384615385
BOM,MAA,BOM → MAA,27,183.40740740740742,180.0,5,18.51851851851852
CCU,BLR,CCU → BLR,20,167.35024833333335,159.5,3,15.0
CCU,BOM,CCU → BOM,33,163.96999696969698,174.0,1,3.0303030303030303
CCU,DEL,CCU → DEL,72,153.6111803240741,139.5,11,15.277777777777779
CCU,HYD,CCU → HYD,21,152.23833174603175,150.0,1,4.761904761904762
CCU,MAA,CCU → MAA,24,171.29187291666668,165.0,3,12.5
DEL,BLR,DEL → BLR,29,170.03482586206894,191.0,3,10.344827586206897
DEL,BOM,DEL → BOM,28,178.10714285714286,176.0,5,17.857142857142858
DEL,CCU,DEL → CCU,26,151.73076923076923,144.0,3,11.538461538461538
DEL,HYD,DEL → HYD,54,174.75925925925927,177.0,6,11.11111111111111
DEL,MAA,DEL → MAA,23,178.7826086956522,184.0,4,17.391304347826086
HYD,BLR,HYD → BLR,26,162.7694217948718,136.0,2,7.6923076923076925
HYD,BOM,HYD → BOM,26,149.92307692307693,141.5,3,11.538461538461538
HYD,CCU,HYD → CCU,26,167.15384615384616,177.0,2,7.6923076923076925
HYD,DEL,HYD → DEL,42,185.35737896825398,196.5,9,21.428571428571427
HYD,MAA,HYD → MAA,57,152.80727894736842,141.0,5,8.771929824561402
MAA,BLR,MAA → BLR,65,172.81553794871795,177.0,8,12.307692307692308
MAA,BOM,MAA → BOM,21,176.76214126984127,173.0,4,19.047619047619047
MAA,CCU,MAA → CCU,24,158.54166666666666,132.5,1,4.166666666666666
MAA,DEL,MAA → DEL,26,155.96173012820512,175.5,2,7.6923076923076925
MAA,HYD,MAA → HYD,21,160.0,164.0,0,0.0
