payment_id,booking_id,amount,payment_method,invalid_amount_flag,orphan_booking_flag,quarantine_reason
PAY1018,B1798,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1019,B1875,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1024,B1523,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1026,B1120,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1033,B1012,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1060,B1572,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1069,B1578,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1071,B1174,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1077,B1501,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1173,B1722,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1184,B1019,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1186,B1132,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1207,B1159,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1213,B1725,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1220,B1805,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1244,B1844,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1249,B1816,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1256,B1124,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1269,B1660,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1273,B1341,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1283,B1118,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1290,B1605,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1311,B1930,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1323,B1314,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1328,B1990,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1344,B1389,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1361,B1702,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1387,B1997,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1392,B1359,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1408,B1146,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1428,B1490,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1433,B1225,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1448,B1235,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1450,B1227,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1456,B1342,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1460,B1178,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1488,B1763,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1534,B1010,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1548,B1896,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1568,B1932,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1576,B1581,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1581,B1531,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1590,B1144,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1591,B1568,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1599,B1517,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1615,B1730,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1623,B1111,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1644,B1521,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1657,B1821,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1664,B1033,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1677,B1756,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1683,B1045,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1700,B1140,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1704,B1446,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1705,B1289,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1710,B1426,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1721,B1254,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1739,B1443,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1742,B1532,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1748,B1821,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1756,B1699,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1757,B1056,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1766,B1923,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1778,B1576,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1817,B1367,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1832,B1173,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1838,B1241,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1850,B1369,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1852,B1151,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1890,B1272,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1897,B1106,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1921,B1514,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1922,B1192,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1925,B1872,,NETBANKING,True,False,INVALID_PAYMENT_AMOUNT
PAY1949,B1376,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1961,B1585,,UPI,True,False,INVALID_PAYMENT_AMOUNT
PAY1981,B1324,,CARD,True,False,INVALID_PAYMENT_AMOUNT
PAY1992,B1997,,CARD,True,False,INVALID_PAYMENT_AMOUNT
